游戏服务器,服务器名称,状态,负荷,内存,cpu,时间
冀京津小游戏23001,小游戏大厅_河北_北京_天津_001,已运行,260,428.11,0,2020-07-26 18:26:53
冀京津小游戏23002,小游戏大厅_河北_北京_天津_001,已运行,283,454.79,0,2020-07-26 18:26:53
冀京津小游戏23003,小游戏大厅_河北_北京_天津_001,已运行,283,446.54,0,2020-07-26 18:26:53
冀京津小游戏23004,小游戏大厅_河北_北京_天津_001,已运行,256,432.29,0,2020-07-26 18:26:53
冀京津小游戏23005,小游戏大厅_河北_北京_天津_002,已运行,247,480.02,0,2020-07-26 18:26:54
冀京津小游戏23006,小游戏大厅_河北_北京_天津_002,已运行,290,442.71,0,2020-07-26 18:26:54
冀京津小游戏23007,小游戏大厅_河北_北京_天津_002,已运行,264,463.15,0,2020-07-26 18:26:54
冀京津小游戏23008,小游戏大厅_河北_北京_天津_002,已运行,272,439.29,0,2020-07-26 18:26:54
冀京津小游戏23009,小游戏大厅_河北_北京_天津_003,已运行,273,445.53,0,2020-07-26 18:26:53
冀京津小游戏23010,小游戏大厅_河北_北京_天津_003,已运行,290,427.67,0,2020-07-26 18:26:53
冀京津小游戏23011,小游戏大厅_河北_北京_天津_003,已运行,241,435.72,0,2020-07-26 18:26:53
冀京津小游戏23012,小游戏大厅_河北_北京_天津_003,已运行,281,448.11,0,2020-07-26 18:26:53
冀京津小游戏23013,小游戏大厅_河北_北京_天津_004,已运行,294,436.18,0,2020-07-26 18:26:53
冀京津小游戏23014,小游戏大厅_河北_北京_天津_004,已运行,291,447.67,0,2020-07-26 18:26:53
冀京津小游戏23015,小游戏大厅_河北_北京_天津_004,已运行,274,447.85,0,2020-07-26 18:26:53
冀京津小游戏23016,小游戏大厅_河北_北京_天津_004,已运行,241,444.16,0,2020-07-26 18:26:53
冀京津小游戏23017,小游戏大厅_河北_北京_天津_005,已运行,236,429.58,0,2020-07-26 18:26:53
冀京津小游戏23018,小游戏大厅_河北_北京_天津_005,已运行,281,439.11,0,2020-07-26 18:26:53
冀京津小游戏23019,小游戏大厅_河北_北京_天津_005,已运行,267,464.67,0,2020-07-26 18:26:53
冀京津小游戏23020,小游戏大厅_河北_北京_天津_005,已运行,266,442.73,0,2020-07-26 18:26:53
吉小游戏11001,小游戏大厅_吉林_001,已运行,617,321.61,0,2020-07-26 18:26:53
吉小游戏11002,小游戏大厅_吉林_001,已运行,646,337.07,0,2020-07-26 18:26:53
吉小游戏11003,小游戏大厅_吉林_001,已运行,588,332.78,0,2020-07-26 18:26:53
吉小游戏11004,小游戏大厅_吉林_001,已运行,604,329.36,0,2020-07-26 18:26:53
吉小游戏11005,小游戏大厅_吉林_002,已运行,610,496.77,0,2020-07-26 18:26:54
吉小游戏11006,小游戏大厅_吉林_002,已运行,595,498.75,0,2020-07-26 18:26:54
吉小游戏11007,小游戏大厅_吉林_002,已运行,658,482.14,0,2020-07-26 18:26:54
吉小游戏11008,小游戏大厅_吉林_002,已运行,631,494,0,2020-07-26 18:26:54
吉小游戏11009,小游戏大厅_吉林_003,已运行,613,495.16,0,2020-07-26 18:26:54
吉小游戏11010,小游戏大厅_吉林_003,已运行,608,492.95,0,2020-07-26 18:26:54
吉小游戏11011,小游戏大厅_吉林_003,已运行,588,470.81,0,2020-07-26 18:26:54
