游戏服务器,服务器名称,状态,负荷,内存,cpu,时间
贵州-贵阳捉鸡-朋友场1,Game-东北-贵州06,已运行,1759,238.15,0,2020/7/26 18:23
贵州-贵阳捉鸡-朋友场2,Game-东北-贵州06,已运行,1782,242.07,0,2020/7/26 18:23
贵州-贵阳捉鸡-金币场,Game-东北-贵州06,已运行,6533,462.52,0,2020/7/26 18:23
贵州-遵义大贰-朋友场,Game-东北-贵州07,已运行,7,32.83,0,2020/7/26 18:23
贵州-遵义麻将-朋友场,Game-东北-贵州07,已运行,1288,314.25,0,2020/7/26 18:23
贵州-遵义麻将-金币场,Game-东北-贵州07,已运行,530,52.93,0,2020/7/26 18:23
贵州-都匀麻将-朋友场,Game-东北-贵州07,已运行,9,266.39,0,2020/7/26 18:23
贵州-铜仁麻将-朋友场,Game-东北-贵州07,已运行,155,279.84,0,2020/7/26 18:23
辽宁-丹东五狼腿-朋友场,Game-东北-贵州03,已运行,87,38.21,0,2020/7/26 18:23
辽宁-丹东麻将-朋友场,Game-东北-贵州03,已运行,199,152.17,0,2020/7/26 18:23
辽宁-四冲-朋友场,Game-东北-贵州03,已运行,94,178.73,0,2020/7/26 18:23
辽宁-四冲-金币场,Game-东北-贵州03,已运行,2720,207.9,0,2020/7/26 18:23
辽宁-大连穷胡-朋友场,Game-东北-贵州03,已运行,789,451.45,0,2020/7/26 18:23
辽宁-大连穷胡-金币场,Game-东北-贵州03,已运行,208,70.05,0,2020/7/26 18:23
辽宁-打滚子-朋友场,Game-东北-贵州03,已运行,180,99.01,0,2020/7/26 18:23
辽宁-打滚子-金币场,Game-东北-贵州03,已运行,357,63.73,0,2020/7/26 18:23
辽宁-抚顺麻将-朋友场,Game-东北-贵州03,已运行,394,307.98,0,2020/7/26 18:23
辽宁-拍分-朋友场,Game-东北-贵州03,已运行,153,195.71,0,2020/7/26 18:23
辽宁-昌图麻将-朋友场,Game-东北-贵州03,已运行,167,175.74,0,2020/7/26 18:23
辽宁-朝阳麻将-朋友场,Game-东北-贵州03,已运行,617,649.21,0,2020/7/26 18:23
辽宁-朝阳麻将-金币场,Game-东北-贵州03,已运行,120,67.53,0,2020/7/26 18:23
辽宁-本溪马队-朋友场,Game-东北-贵州03,已运行,308,66.46,0,2020/7/26 18:23
辽宁-本溪马队-金币场,Game-东北-贵州03,已运行,139,39.66,0,2020/7/26 18:23
辽宁-本溪麻将-朋友场,Game-东北-贵州03,已运行,188,154.02,0,2020/7/26 18:23
辽宁-沈阳麻将-朋友场1,Game-东北-贵州03,已运行,1468,705.17,0,2020/7/26 18:23
辽宁-沈阳麻将-朋友场2,Game-东北-贵州03,已运行,1463,703.93,0,2020/7/26 18:23
辽宁-沈阳麻将-金币场,Game-东北-贵州03,已运行,1380,193.53,0,2020/7/26 18:23
辽宁-海城麻将-朋友场,Game-东北-贵州03,已运行,55,139.2,0,2020/7/26 18:23
辽宁-盘锦麻将-朋友场,Game-东北-贵州03,已运行,415,287.41,0,2020/7/26 18:23
辽宁-营口麻将-朋友场,Game-东北-贵州03,已运行,330,279.1,0,2020/7/26 18:23
辽宁-葫芦岛麻将-朋友场,Game-东北-贵州03,已运行,389,280,0,2020/7/26 18:23
辽宁-辽阳麻将-朋友场,Game-东北-贵州03,已运行,405,269.61,0,2020/7/26 18:23
辽宁-辽阳麻将-金币场,Game-东北-贵州03,已运行,116,66.13,0,2020/7/26 18:23
辽宁-铁岭麻将-朋友场,Game-东北-贵州03,已运行,391,167.47,0,2020/7/26 18:23
辽宁-铁岭麻将-金币场,Game-东北-贵州03,已运行,101,67.46,0,2020/7/26 18:23
辽宁-锦州五十K-朋友场,Game-东北-贵州03,已运行,447,179.48,0,2020/7/26 18:23
辽宁-锦州五十K-金币场,Game-东北-贵州03,已运行,325,69.18,0,2020/7/26 18:23
辽宁-锦州麻将-朋友场,Game-东北-贵州03,已运行,660,366.55,0,2020/7/26 18:23
辽宁-锦州麻将-金币场,Game-东北-贵州03,已运行,140,72.78,0,2020/7/26 18:23
辽宁-阜新麻将-朋友场,Game-东北-贵州03,已运行,362,290.15,0,2020/7/26 18:23
辽宁-阜新麻将-金币场,Game-东北-贵州03,已运行,145,71.58,0,2020/7/26 18:23
辽宁-鞍山麻将-朋友场1,Game-东北-贵州04,已运行,1108,420.96,0,2020/7/26 18:23
辽宁-鞍山麻将-朋友场2,Game-东北-贵州04,已运行,429,127.47,0,2020/7/26 18:23
辽宁-鞍山麻将-金币场,Game-东北-贵州04,已运行,929,74.06,0,2020/7/26 18:23
通用-三人斗地主-朋友场3,Game-系统支持02,已运行,8032,464.88,0,2020/7/26 18:23
通用-三人斗地主-朋友场4,Game-系统支持02,已运行,8944,471.59,0,2020/7/26 18:23
通用-三人斗地主-朋友场5,Game-系统支持02,已运行,8659,470.54,0,2020/7/26 18:23
通用-三人斗地主-朋友场6,Game-系统支持02,已运行,9921,483.13,0,2020/7/26 18:23
通用-三人斗地主-朋友场7,Game-系统支持02,已运行,8730,469.68,0,2020/7/26 18:23
通用-三人斗地主-金币场1,Game-系统支持03,已运行,12264,679.6,0,2020/7/26 18:23
通用-三人斗地主-金币场2,Game-系统支持03,已运行,4378,455.96,0,2020/7/26 18:23
通用-三人斗地主-金币场5,Game-系统支持03,已运行,3872,320.27,0,2020/7/26 18:23
通用-二人斗地主-朋友场1,Game-系统支持04,已运行,9043,366.04,0,2020/7/26 18:23
通用-二人斗地主-金币场1,Game-系统支持04,已运行,1199,232.03,0,2020/7/26 18:23
通用-全国红中-金币场1,Game-系统支持01,已运行,811,59.55,0,2020/7/26 18:23
通用-干瞪眼-朋友场1,Game-系统支持04,已运行,3931,363.38,0,2020/7/26 18:23
通用-干瞪眼-金币场1,Game-系统支持04,已运行,961,169.34,0,2020/7/26 18:23
通用-血战到底-朋友场1,Game-系统支持01,已运行,4650,391.88,0,2020/7/26 18:23
通用-血战到底-朋友场2,Game-系统支持01,已运行,4701,396.16,0,2020/7/26 18:23
通用-血战到底-朋友场3,Game-系统支持01,已运行,4631,391.01,0,2020/7/26 18:23
通用-血战到底-金币场1,Game-系统支持01,已运行,1507,103.67,0,2020/7/26 18:23
通用-血流成河-朋友场1,Game-系统支持01,已运行,1555,238.38,0,2020/7/26 18:23
通用-血流成河-金币场1,Game-系统支持01,已运行,2916,176.09,0,2020/7/26 18:23
通用-跑得快-朋友场1,Game-系统支持04,已运行,8997,520.05,0,2020/7/26 18:23
通用-跑得快-金币场1,Game-系统支持04,已运行,3154,477.29,0,2020/7/26 18:23
陕西-三代-朋友场1,Game-四川-云南-陕西-甘肃-宁夏01,已运行,3048,155.4,0,2020/7/26 18:23
陕西-三代-金币场1,Game-四川-云南-陕西-甘肃-宁夏01,已运行,634,64.15,0,2020/7/26 18:23
陕西-商洛麻将-朋友场1,Game-四川-云南-陕西-甘肃-宁夏01,已运行,1,30.25,0,2020/7/26 18:23
陕西-安康麻将-朋友场1,Game-四川-云南-陕西-甘肃-宁夏01,已运行,149,38.34,0,2020/7/26 18:23
