游戏服务器,服务器名称,状态,负荷,内存,cpu,时间
大厅服务器204,苹果审核--,已运行,4,183.54,0,2020-12-21 19:32:20
大厅服务器291,吉祥大厅4--,已运行,1092,450.11,0,2020-12-21 19:32:20
大厅服务器292,吉祥大厅4--,已运行,1059,425.22,0,2020-12-21 19:32:20
大厅服务器293,吉祥大厅4--,已运行,1064,422.43,0,2020-12-21 19:32:20
大厅服务器294,吉祥大厅4--,已运行,1075,409.14,0,2020-12-21 19:32:20
大厅服务器321,吉祥大厅3--,已运行,1058,424.42,0,2020-12-21 19:32:20
大厅服务器322,吉祥大厅9--,已运行,1113,413.96,0,2020-12-21 19:32:20
大厅服务器323,吉祥大厅3--,已运行,1148,439.36,0,2020-12-21 19:32:20
大厅服务器324,吉祥大厅3--,已运行,1087,436.95,0,2020-12-21 19:32:20
大厅服务器6901,吉祥大厅5--,已运行,1144,421.39,0,2020-12-21 19:32:20
大厅服务器6902,吉祥大厅5--,已运行,1058,415.16,0,2020-12-21 19:32:20
大厅服务器6903,吉祥大厅5--,已运行,1084,415.32,0,2020-12-21 19:32:20
大厅服务器6904,吉祥大厅5--,已运行,1116,415.69,0,2020-12-21 19:32:20
大厅服务器6906,吉祥大厅6--,已运行,1112,425.64,0,2020-12-21 19:32:19
大厅服务器6907,吉祥大厅6--,已运行,1148,418.43,0,2020-12-21 19:32:19
大厅服务器6908,吉祥大厅6--,已运行,1107,415.51,0,2020-12-21 19:32:19
大厅服务器6909,吉祥大厅6--,已运行,1080,431.57,0,2020-12-21 19:32:19
大厅服务器6911,吉祥大厅7--,已运行,1182,438.99,0,2020-12-21 19:32:20
大厅服务器6912,吉祥大厅7--,已运行,1127,417.73,0,2020-12-21 19:32:20
大厅服务器6913,吉祥大厅7--,已运行,1050,414.91,0,2020-12-21 19:32:20
大厅服务器6914,吉祥大厅7--,已运行,1114,427.84,0,2020-12-21 19:32:20
大厅服务器6916,吉祥大厅8--,已运行,1112,418.54,0,2020-12-21 19:32:20
大厅服务器6917,吉祥大厅8--,已运行,1081,436.37,0,2020-12-21 19:32:20
大厅服务器6918,吉祥大厅8--,已运行,1095,416.07,0,2020-12-21 19:32:20
大厅服务器6919,吉祥大厅8--,已运行,1052,414.12,0,2020-12-21 19:32:20
大厅服务器6921,吉祥大厅3--,已运行,1125,429.22,0,2020-12-21 19:32:20
大厅服务器6922,吉祥大厅9--,已运行,1147,413.09,0,2020-12-21 19:32:20
大厅服务器6923,吉祥大厅9--,已运行,1086,411.86,0,2020-12-21 19:32:20
大厅服务器6924,吉祥大厅9--,已运行,1135,407.93,0,2020-12-21 19:32:20
大厅服务器6925,吉祥大厅10--,已运行,1083,408.52,0,2020-12-21 19:32:20
大厅服务器6926,吉祥大厅10--,已运行,1096,423.93,0,2020-12-21 19:32:20
大厅服务器6927,吉祥大厅10--,已运行,1019,419.12,0,2020-12-21 19:32:20
大厅服务器6928,吉祥大厅10--,已运行,1141,418.48,0,2020-12-21 19:32:20
