游戏服务器,服务器名称,状态,负荷,内存,cpu,时间
X_冀京津小游戏23001,小游戏大厅_河北_北京_天津_001,已运行,1045,404.12,0,2020-12-08 21:31:47
X_冀京津小游戏23002,小游戏大厅_河北_北京_天津_001,已运行,1054,413.86,0,2020-12-08 21:31:47
X_冀京津小游戏23003,小游戏大厅_河北_北京_天津_001,已运行,1008,419.07,0,2020-12-08 21:31:47
X_冀京津小游戏23004,小游戏大厅_河北_北京_天津_001,已运行,1014,419.2,0,2020-12-08 21:31:47
X_冀京津小游戏23005,小游戏大厅_河北_北京_天津_002,已运行,1036,426.91,0,2020-12-08 21:31:47
X_冀京津小游戏23006,小游戏大厅_河北_北京_天津_002,已运行,1102,407.62,0,2020-12-08 21:31:47
X_冀京津小游戏23007,小游戏大厅_河北_北京_天津_002,已运行,1065,421.97,0,2020-12-08 21:31:47
X_冀京津小游戏23008,小游戏大厅_河北_北京_天津_002,已运行,1057,429.23,0,2020-12-08 21:31:47
X_冀京津小游戏23009,小游戏大厅_河北_北京_天津_003,已运行,1027,381.68,0,2020-12-08 21:31:47
X_冀京津小游戏23010,小游戏大厅_河北_北京_天津_003,已运行,1036,433.66,0,2020-12-08 21:31:47
X_冀京津小游戏23011,小游戏大厅_河北_北京_天津_003,已运行,1069,421.35,0,2020-12-08 21:31:47
X_冀京津小游戏23012,小游戏大厅_河北_北京_天津_003,已运行,1050,428.83,0,2020-12-08 21:31:47
X_冀京津小游戏23013,小游戏大厅_河北_北京_天津_004,已运行,1081,421,0,2020-12-08 21:31:47
X_冀京津小游戏23014,小游戏大厅_河北_北京_天津_004,已运行,1108,412.15,0,2020-12-08 21:31:47
X_冀京津小游戏23015,小游戏大厅_河北_北京_天津_004,已运行,1046,438.15,0,2020-12-08 21:31:47
X_冀京津小游戏23016,小游戏大厅_河北_北京_天津_004,已运行,1087,416.57,0,2020-12-08 21:31:47
X_冀京津小游戏23017,小游戏大厅_河北_北京_天津_005,已运行,1020,411.38,0,2020-12-08 21:31:48
X_冀京津小游戏23018,小游戏大厅_河北_北京_天津_005,已运行,1022,414.21,0,2020-12-08 21:31:48
X_冀京津小游戏23019,小游戏大厅_河北_北京_天津_005,已运行,1039,409.02,0,2020-12-08 21:31:48
X_冀京津小游戏23020,小游戏大厅_河北_北京_天津_005,已运行,1091,417.18,0,2020-12-08 21:31:48
X_冀京津小游戏23021,小游戏大厅_河北_北京_天津_006,已运行,1027,440.19,0,2020-12-08 21:31:47
