游戏服务器,服务器名称,状态,负荷,内存,cpu,时间
X_冀京津小游戏23001,小游戏大厅_河北_北京_天津_001,已运行,661,328.9,0,2020-12-21 19:31:59
X_冀京津小游戏23002,小游戏大厅_河北_北京_天津_001,已运行,660,326.93,0,2020-12-21 19:31:59
X_冀京津小游戏23003,小游戏大厅_河北_北京_天津_001,已运行,643,321.11,0,2020-12-21 19:31:59
X_冀京津小游戏23004,小游戏大厅_河北_北京_天津_001,已运行,676,326.96,0,2020-12-21 19:31:59
X_冀京津小游戏23005,小游戏大厅_河北_北京_天津_002,已运行,615,318.86,0,2020-12-21 19:31:58
X_冀京津小游戏23006,小游戏大厅_河北_北京_天津_002,已运行,675,324.45,0,2020-12-21 19:31:58
X_冀京津小游戏23007,小游戏大厅_河北_北京_天津_002,已运行,673,332.26,0,2020-12-21 19:31:58
X_冀京津小游戏23008,小游戏大厅_河北_北京_天津_002,已运行,656,313.95,0,2020-12-21 19:31:58
X_冀京津小游戏23009,小游戏大厅_河北_北京_天津_003,已运行,655,322.36,0,2020-12-21 19:31:58
X_冀京津小游戏23010,小游戏大厅_河北_北京_天津_003,已运行,651,319.15,0,2020-12-21 19:31:58
X_冀京津小游戏23011,小游戏大厅_河北_北京_天津_003,已运行,670,327.42,0,2020-12-21 19:31:58
X_冀京津小游戏23012,小游戏大厅_河北_北京_天津_003,已运行,645,323.94,0,2020-12-21 19:31:58
X_冀京津小游戏23013,小游戏大厅_河北_北京_天津_004,已运行,632,329.66,0,2020-12-21 19:31:59
X_冀京津小游戏23014,小游戏大厅_河北_北京_天津_004,已运行,646,320.32,0,2020-12-21 19:31:59
X_冀京津小游戏23015,小游戏大厅_河北_北京_天津_004,已运行,666,321.46,0,2020-12-21 19:31:59
X_冀京津小游戏23016,小游戏大厅_河北_北京_天津_004,已运行,637,323.94,0,2020-12-21 19:31:59
X_冀京津小游戏23017,小游戏大厅_河北_北京_天津_005,已运行,666,326.75,0,2020-12-21 19:31:59
X_冀京津小游戏23018,小游戏大厅_河北_北京_天津_005,已运行,680,331.77,0,2020-12-21 19:31:59
X_冀京津小游戏23019,小游戏大厅_河北_北京_天津_005,已运行,700,330.57,0,2020-12-21 19:31:59
X_冀京津小游戏23020,小游戏大厅_河北_北京_天津_005,已运行,643,327.82,0,2020-12-21 19:31:59
X_冀京津小游戏23021,小游戏大厅_河北_北京_天津_006,已运行,655,323.3,0,2020-12-21 19:31:59
X_冀京津小游戏23022,小游戏大厅_河北_北京_天津_006,已运行,670,324.74,0,2020-12-21 19:31:59
X_冀京津小游戏23023,小游戏大厅_河北_北京_天津_006,已运行,682,327.41,0,2020-12-21 19:31:59
X_冀京津小游戏23024,小游戏大厅_河北_北京_天津_006,已运行,594,316.87,0,2020-12-21 19:31:59
X_吉小游戏11001,小游戏大厅_吉林_001,已运行,1220,392.66,0,2020-12-21 19:31:59
X_吉小游戏11002,小游戏大厅_吉林_001,已运行,1232,383.85,0,2020-12-21 19:31:59
X_吉小游戏11003,小游戏大厅_吉林_001,已运行,1243,390.53,0,2020-12-21 19:31:59
X_吉小游戏11004,小游戏大厅_吉林_001,已运行,1244,386.85,0,2020-12-21 19:31:59
X_吉小游戏11005,小游戏大厅_吉林_002,已运行,1147,375.87,0,2020-12-21 19:31:59
X_吉小游戏11006,小游戏大厅_吉林_002,已运行,1171,381.67,0,2020-12-21 19:31:59
X_吉小游戏11007,小游戏大厅_吉林_002,已运行,1231,385.68,0,2020-12-21 19:31:59
X_吉小游戏11008,小游戏大厅_吉林_002,已运行,1246,390.6,0,2020-12-21 19:31:59
X_吉小游戏11009,小游戏大厅_吉林_003,已运行,1173,380.7,0,2020-12-21 19:31:58
X_吉小游戏11010,小游戏大厅_吉林_003,已运行,1226,378.89,0,2020-12-21 19:31:58
X_吉小游戏11011,小游戏大厅_吉林_003,已运行,1265,387.74,0,2020-12-21 19:31:58
X_吉小游戏11012,小游戏大厅_吉林_003,已运行,1223,390.07,0,2020-12-21 19:31:58
X_吉小游戏11013,小游戏大厅_吉林_004,已运行,1202,383.28,0,2020-12-21 19:31:59
X_吉小游戏11014,小游戏大厅_吉林_004,已运行,1218,389.2,0,2020-12-21 19:31:59
X_吉小游戏11015,小游戏大厅_吉林_004,已运行,1168,371.63,0,2020-12-21 19:31:59
X_吉小游戏11016,小游戏大厅_吉林_004,已运行,1177,385.26,0,2020-12-21 19:31:59
X_吉小游戏11017,小游戏大厅_吉林_005,已运行,1241,387.04,0,2020-12-21 19:31:59
X_吉小游戏11018,小游戏大厅_吉林_005,已运行,1150,388.23,0,2020-12-21 19:31:59
X_吉小游戏11019,小游戏大厅_吉林_005,已运行,1179,381.7,0,2020-12-21 19:31:59
X_吉小游戏11020,小游戏大厅_吉林_005,已运行,1262,397.79,0,2020-12-21 19:31:59
X_吉小游戏11021,小游戏大厅_吉林_006,已运行,1200,382.83,0,2020-12-21 19:31:58
X_吉小游戏11022,小游戏大厅_吉林_006,已运行,1217,387.04,0,2020-12-21 19:31:58
X_吉小游戏11023,小游戏大厅_吉林_006,已运行,1189,384.36,0,2020-12-21 19:31:58
X_吉小游戏11024,小游戏大厅_吉林_006,已运行,1129,379.08,0,2020-12-21 19:31:58
X_吉小游戏11025,小游戏大厅_吉林_007,已运行,1175,382.43,0,2020-12-21 19:31:59
X_吉小游戏11026,小游戏大厅_吉林_007,已运行,1240,381.14,0,2020-12-21 19:31:59
X_吉小游戏11027,小游戏大厅_吉林_007,已运行,1239,378.03,0,2020-12-21 19:31:59
X_吉小游戏11028,小游戏大厅_吉林_007,已运行,1190,381.18,0,2020-12-21 19:31:59
X_吉小游戏11029,小游戏大厅_吉林_008,已运行,1256,386.91,0,2020-12-21 19:31:59
X_吉小游戏11030,小游戏大厅_吉林_008,已运行,1197,386.17,0,2020-12-21 19:31:59
X_吉小游戏11031,小游戏大厅_吉林_008,已运行,1240,390.62,0,2020-12-21 19:31:59
X_吉小游戏11032,小游戏大厅_吉林_008,已运行,1216,383.53,0,2020-12-21 19:31:59
X_吉小游戏11033,小游戏大厅_吉林_009,已运行,1192,382.68,0,2020-12-21 19:31:59
X_吉小游戏11034,小游戏大厅_吉林_009,已运行,1215,388.01,0,2020-12-21 19:31:59
X_吉小游戏11035,小游戏大厅_吉林_009,已运行,1202,386.89,0,2020-12-21 19:31:59
X_吉小游戏11036,小游戏大厅_吉林_009,已运行,1160,377.85,0,2020-12-21 19:31:59
X_吉小游戏11037,小游戏大厅_吉林_010,已运行,1212,378.16,0,2020-12-21 19:31:59
X_吉小游戏11038,小游戏大厅_吉林_010,已运行,1175,381.91,0,2020-12-21 19:31:59
X_吉小游戏11039,小游戏大厅_吉林_010,已运行,1171,379.17,0,2020-12-21 19:31:59
X_吉小游戏11040,小游戏大厅_吉林_010,已运行,1226,386.7,0,2020-12-21 19:31:59
X_吉小游戏11041,小游戏大厅_吉林_011,已运行,1189,380.98,0,2020-12-21 19:31:59
X_吉小游戏11042,小游戏大厅_吉林_011,已运行,1216,387.84,0,2020-12-21 19:31:59
X_吉小游戏11043,小游戏大厅_吉林_011,已运行,1206,383.34,0,2020-12-21 19:31:59
X_吉小游戏11044,小游戏大厅_吉林_011,已运行,1223,390.48,0,2020-12-21 19:31:59
X_吉小游戏11045,小游戏大厅_吉林_012,已运行,1268,389.05,0,2020-12-21 19:31:59
X_吉小游戏11046,小游戏大厅_吉林_012,已运行,1246,393.41,0,2020-12-21 19:31:59
X_吉小游戏11047,小游戏大厅_吉林_012,已运行,1204,381.94,0,2020-12-21 19:31:59
X_吉小游戏11048,小游戏大厅_吉林_012,已运行,1260,393.43,0,2020-12-21 19:31:59
X_吉小游戏11049,小游戏大厅_吉林_013,已运行,1205,386.29,0,2020-12-21 19:31:59
X_吉小游戏11050,小游戏大厅_吉林_013,已运行,1309,399.68,0,2020-12-21 19:31:59
X_吉小游戏11051,小游戏大厅_吉林_013,已运行,1191,382.4,0,2020-12-21 19:31:59
X_吉小游戏11052,小游戏大厅_吉林_013,已运行,1192,384.38,0,2020-12-21 19:31:59
X_川甘宁云小游戏16001,小游戏大厅_四川_甘肃_宁夏_云南_001,已运行,589,318.37,0,2020-12-21 19:31:59
X_川甘宁云小游戏16002,小游戏大厅_四川_甘肃_宁夏_云南_001,已运行,587,314.39,0,2020-12-21 19:31:59
