游戏服务器,服务器名称,状态,负荷,内存,cpu,时间
X_上海-上海拉西胡-朋友场,X_Game-江苏-安徽-浙江-上海01,已运行,0,32.98,0,2020-12-21 19:32:09
X_上海-上海搓花-朋友场,X_Game-江苏-安徽-浙江-上海01,已运行,0,32.92,0,2020-12-21 19:32:09
X_上海-上海敲麻-朋友场,X_Game-江苏-安徽-浙江-上海01,已运行,164,38.68,0,2020-12-21 19:32:09
X_上海-上海敲麻-金币场,X_Game-江苏-安徽-浙江-上海01,已运行,1,36.7,0,2020-12-21 19:32:09
X_上海-上海清混碰-朋友场,X_Game-江苏-安徽-浙江-上海01,已运行,0,32.9,0,2020-12-21 19:32:09
X_上海-上海百搭-朋友场,X_Game-江苏-安徽-浙江-上海01,已运行,36,34.41,0,2020-12-21 19:32:09
X_云南_小鸡飞_朋友场1,X_Game-四川-云南-陕西-甘肃-宁夏02,已运行,3,33.31,0,2020-12-21 19:32:09
X_云南_新春天扑克_朋友场1,X_Game-四川-云南-陕西-甘肃-宁夏02,已运行,1,172.88,0,2020-12-21 19:32:09
X_云南-个旧麻将-朋友场1,X_Game-四川-云南-陕西-甘肃-宁夏02,已运行,8,16.56,0,2020-12-21 19:32:09
X_云南-临沧麻将-朋友场1,X_Game-四川-云南-陕西-甘肃-宁夏02,已运行,20,37.15,0,2020-12-21 19:32:09
X_云南-云南推倒胡-朋友场1,X_Game-四川-云南-陕西-甘肃-宁夏02,已运行,41,39.93,0,2020-12-21 19:32:09
X_云南-保山麻将-朋友场1,X_Game-四川-云南-陕西-甘肃-宁夏02,已运行,92,39.99,0,2020-12-21 19:32:09
X_云南-卡二条麻将-朋友场1,X_Game-四川-云南-陕西-甘肃-宁夏02,已运行,77,43.52,0,2020-12-21 19:32:09
X_云南-卡心五麻将-朋友场1,X_Game-四川-云南-陕西-甘肃-宁夏02,已运行,18,35.93,0,2020-12-21 19:32:09
X_云南-文山翻小鸡-朋友场1,X_Game-四川-云南-陕西-甘肃-宁夏02,已运行,4,31.88,0,2020-12-21 19:32:09
X_云南-春天扑克-朋友场1,X_Game-四川-云南-陕西-甘肃-宁夏02,已运行,206,38.78,0,2020-12-21 19:32:09
X_云南-春天扑克-金币场1,X_Game-四川-云南-陕西-甘肃-宁夏02,已运行,53,17.38,0,2020-12-21 19:32:09
