游戏服务器,服务器名称,状态,负荷,内存,cpu,时间
大厅服务器6997,小程序1--,已运行,686,371.77,0,2020-12-21 19:32:27
大厅服务器6998,小程序1--,已运行,679,359.51,0,2020-12-21 19:32:27
大厅服务器6999,小程序1--,已运行,708,358.34,0,2020-12-21 19:32:27
大厅服务器7000,小程序1--,已运行,738,353.42,0,2020-12-21 19:32:27
大厅服务器7001,小程序2--,已运行,649,381.68,0,2020-12-21 19:32:28
大厅服务器7002,小程序2--,已运行,688,371.49,0,2020-12-21 19:32:28
大厅服务器7003,小程序2--,已运行,656,390.15,0,2020-12-21 19:32:28
大厅服务器7005,小程序3--,已运行,674,368.57,0,2020-12-21 19:32:28
大厅服务器7006,小程序3--,已运行,682,352.32,0,2020-12-21 19:32:28
大厅服务器7007,小程序3--,已运行,738,377.4,0,2020-12-21 19:32:28
大厅服务器7008,小程序3--,已运行,701,366.38,0,2020-12-21 19:32:28
大厅服务器7009,小程序4--,已运行,686,369.63,0,2020-12-21 19:32:28
大厅服务器7010,小程序4--,已运行,676,366.55,0,2020-12-21 19:32:28
大厅服务器7012,小程序4--,已运行,734,374.45,0,2020-12-21 19:32:28
大厅服务器7013,小程序5--,已运行,715,381.26,0,2020-12-21 19:32:27
大厅服务器7014,小程序5--,已运行,681,365.32,0,2020-12-21 19:32:27
大厅服务器7015,小程序5--,已运行,710,352.46,0,2020-12-21 19:32:27
大厅服务器7016,小程序5--,已运行,708,343.73,0,2020-12-21 19:32:27
大厅服务器7017,小程序2--,已运行,698,392.88,0,2020-12-21 19:32:28
大厅服务器7018,小程序4--,已运行,717,374.03,0,2020-12-21 19:32:28
