游戏服务器,服务器名称,状态,负荷,内存,cpu,时间
大厅地鼠-吉祥,Game-四川-云南-陕西-甘肃-宁夏01,已运行,3,28.08,0,2020-12-21 19:32:32
天津-天津麻将-朋友场,Game-河南-河北-天津-北京01,已运行,8,198.86,0,2020-12-21 19:32:32
天津-天津麻将-金币场,Game-河南-河北-天津-北京01,已运行,0,8.44,0,2020-12-21 19:32:32
宁夏-划水麻将-朋友场,Game-四川-云南-陕西-甘肃-宁夏01,已运行,4,267.2,0,2020-12-21 19:32:32
宁夏-划水麻将-金币场,Game-四川-云南-陕西-甘肃-宁夏01,已运行,0,15.89,0,2020-12-21 19:32:32
安徽-掼蛋-朋友场,Game-江苏-安徽-浙江-上海01,已运行,9,223.84,0,2020-12-21 19:32:32
安徽-掼蛋-金币场,Game-江苏-安徽-浙江-上海01,已运行,0,43.39,0,2020-12-21 19:32:32
山东-够级玩法-朋友场,Game-山东-山西-内蒙01,已运行,0,122.88,0,2020-12-21 19:32:31
山东-够级玩法-金币场,Game-山东-山西-内蒙01,已运行,1,126.56,0,2020-12-21 19:32:31
山东-威海保皇-朋友场,Game-山东-山西-内蒙01,已运行,0,119.48,0,2020-12-21 19:32:31
山东-威海保皇-金币场,Game-山东-山西-内蒙01,已运行,0,22.27,0,2020-12-21 19:32:31
山东-潍坊保皇-朋友场,Game-山东-山西-内蒙01,已运行,0,213.88,0,2020-12-21 19:32:31
山东-潍坊保皇-金币场,Game-山东-山西-内蒙01,已运行,0,25.59,0,2020-12-21 19:32:31
山东-青岛保皇-朋友场,Game-山东-山西-内蒙01,已运行,0,196.84,0,2020-12-21 19:32:31
山东-青岛保皇-金币场,Game-山东-山西-内蒙01,已运行,0,37.26,0,2020-12-21 19:32:31
山西-山西扣点玩法-朋友场,Game-山东-山西-内蒙01,已运行,24,338.84,0,2020-12-21 19:32:31
山西-山西扣点玩法-金币场,Game-山东-山西-内蒙01,已运行,0,34.79,0,2020-12-21 19:32:31
干瞪眼fri,Game-系统支持01,已运行,65,142.54,0,2020-12-21 19:32:32
干瞪眼pt,Game-系统支持01,已运行,111,54.72,0,2020-12-21 19:32:32
广东-100张-朋友场,Game-湖南-湖北-广东-广西-海南01,已运行,2,310.39,0,2020-12-21 19:32:32
广东-100张-金币场,Game-湖南-湖北-广东-广西-海南01,已运行,0,16.52,0,2020-12-21 19:32:32
广东-二人雀神-朋友场,Game-湖南-湖北-广东-广西-海南01,已运行,2,177.68,0,2020-12-21 19:32:32
广东-二人雀神-金币场,Game-湖南-湖北-广东-广西-海南01,已运行,1,35.57,0,2020-12-21 19:32:32
广东-红中王-朋友场,Game-湖南-湖北-广东-广西-海南01,已运行,6,315.96,0,2020-12-21 19:32:32
广东-红中王-金币场,Game-湖南-湖北-广东-广西-海南01,已运行,0,83.28,0,2020-12-21 19:32:32
广东-锄大地-朋友场,Game-湖南-湖北-广东-广西-海南01,已运行,8,212.26,0,2020-12-21 19:32:32
广东-锄大地-金币场,Game-湖南-湖北-广东-广西-海南01,已运行,0,23.05,0,2020-12-21 19:32:32
广西-南宁麻将-朋友场,Game-湖南-湖北-广东-广西-海南01,已运行,0,125.98,0,2020-12-21 19:32:32
广西-南宁麻将-金币场,Game-湖南-湖北-广东-广西-海南01,已运行,0,37.71,0,2020-12-21 19:32:32
捕鱼JS大厅1,Game-四川-云南-陕西-甘肃-宁夏01,已运行,179,294.95,0,2020-12-21 19:32:32
捕鱼JS大厅2,Game-四川-云南-陕西-甘肃-宁夏01,已运行,45,287.32,0,2020-12-21 19:32:32
斗地主-比赛-混服,Game-系统支持01,已运行,398,104.59,0,2020-12-21 19:32:32
