游戏服务器,服务器名称,状态,负荷,内存,cpu,时间
X_反向代理websocket,小游戏大厅_辽宁_009,已运行,7875,550.6,0,2020-12-21 19:31:54
X_反向代理websocket,小游戏大厅_贵州_006,已运行,4508,348.65,0,2020-12-21 19:31:54
X_反向代理websocket,小游戏大厅_河北_北京_天津_005,已运行,5291,389.93,0,2020-12-21 19:31:54
X_反向代理websocket,小游戏大厅_辽宁_006,已运行,8031,575.46,0,2020-12-21 19:31:53
X_反向代理websocket,小游戏大厅_贵州_007,已运行,4457,336.98,0,2020-12-21 19:31:53
X_反向代理websocket,小游戏大厅_河南_003,已运行,3341,247.43,0,2020-12-21 19:31:54
X_反向代理websocket,小游戏大厅_贵州_008,已运行,4707,361.8,0,2020-12-21 19:31:54
X_反向代理websocket,小游戏大厅_贵州_010,已运行,4431,332.62,0,2020-12-21 19:31:54
X_反向代理websocket,小游戏大厅_贵州_009,已运行,4515,340.8,0,2020-12-21 19:31:54
X_反向代理websocket,小游戏大厅_贵州_011,已运行,4397,332.12,0,2020-12-21 19:31:54
X_反向代理websocket,小游戏大厅_贵州_012,已运行,4440,338.59,0,2020-12-21 19:31:54
X_反向代理websocket,小游戏大厅_吉林_008,已运行,9800,703.64,0,2020-12-21 19:31:54
X_反向代理websocket,小游戏大厅_贵州_015,已运行,4442,340.32,0,2020-12-21 19:31:54
X_反向代理websocket,小游戏大厅_贵州_016,已运行,4412,337.63,0,2020-12-21 19:31:53
X_反向代理websocket,小游戏大厅_贵州_017,已运行,4454,330.18,0,2020-12-21 19:31:54
X_反向代理websocket,小游戏大厅_贵州_018,已运行,4463,333.44,0,2020-12-21 19:31:54
X_反向代理websocket,小游戏大厅_吉林_010,已运行,9572,682.7,0,2020-12-21 19:31:54
X_反向代理websocket,小游戏大厅_吉林_011,已运行,9461,671.14,0,2020-12-21 19:31:54
X_反向代理websocket,小游戏大厅_辽宁_007,已运行,7858,560.3,0,2020-12-21 19:31:54
X_反向代理websocket,小游戏大厅_辽宁_008,已运行,8032,572.99,0,2020-12-21 19:31:53
X_反向代理websocket,小游戏大厅_黑龙江_008,已运行,9892,702.7,0,2020-12-21 19:31:54
X_反向代理websocket,小游戏大厅_贵州_013,已运行,4461,335.95,0,2020-12-21 19:31:54
X_反向代理websocket,小游戏大厅_吉林_003,已运行,9546,688.72,0,2020-12-21 19:31:53
X_反向代理websocket,小游戏大厅_辽宁_004,已运行,7935,555.93,0,2020-12-21 19:31:53
X_反向代理websocket,小游戏大厅_辽宁_005,已运行,7993,566.65,0,2020-12-21 19:31:53
X_反向代理websocket,小游戏大厅_黑龙江_001,已运行,9781,694.82,0,2020-12-21 19:31:53
X_反向代理websocket,小游戏大厅_黑龙江_002,已运行,9928,701.12,0,2020-12-21 19:31:53
X_反向代理websocket,小游戏大厅_黑龙江_003,已运行,9921,705.68,0,2020-12-21 19:31:54
X_反向代理websocket,小游戏大厅_黑龙江_005,已运行,9887,717.54,0,2020-12-21 19:31:53
X_反向代理websocket,小游戏大厅_黑龙江_004,已运行,9686,684.55,0,2020-12-21 19:31:53
X_反向代理websocket,小游戏大厅_黑龙江_006,已运行,9975,706.31,0,2020-12-21 19:31:54
