游戏服务器,所属游戏,文件夹,启动程序,配置文件
,JL白山麻将newcsJX,D:\Games_吉林地区_朋友场_麻将,D:\Games_吉林地区_朋友场_麻将\bsmj_server.exe,D:\Games_吉林地区_朋友场_麻将\白山麻将.xml
,JL白城麻将newcsJX,D:\Games_吉林地区_朋友场_麻将,D:\Games_吉林地区_朋友场_麻将\bcmj_server.exe,D:\Games_吉林地区_朋友场_麻将\白城麻将.xml
,长岭麻将服务器fr,D:\Games_吉林地区_朋友场_麻将,D:\Games_吉林地区_朋友场_麻将\ChangLingMJServer.exe,D:\Games_吉林地区_朋友场_麻将\长岭麻将.xml
,敦化麻将服务器fr,D:\Games_吉林地区_朋友场_麻将,D:\Games_吉林地区_朋友场_麻将\dunh_server.exe,D:\Games_吉林地区_朋友场_麻将\敦化麻将.xml
,JL扶余麻将newcs,D:\Games_吉林地区_朋友场_麻将,D:\Games_吉林地区_朋友场_麻将\fuyu_Server.exe,D:\Games_吉林地区_朋友场_麻将\扶余麻将.xml
,JL榆树麻将newcs,D:\Games_吉林地区_朋友场_麻将,D:\Games_吉林地区_朋友场_麻将\ysmj_server.exe,D:\Games_吉林地区_朋友场_麻将\榆树麻将.xml
,珲春麻将,D:\Games_吉林地区_金币场_麻将,D:\Games_吉林地区_金币场_麻将\HCMJMaJiangServer.exe,D:\Games_吉林地区_金币场_麻将\珲春麻将.xml
,JL通化麻将newcsJX,D:\Games_吉林地区_朋友场_麻将,D:\Games_吉林地区_朋友场_麻将\thmj_server.exe,D:\Games_吉林地区_朋友场_麻将\通化麻将.xml
,JL长春麻将new,D:\Games_吉林地区_金币场_麻将,D:\Games_吉林地区_金币场_麻将\ccmj_server.exe,D:\Games_吉林地区_金币场_麻将\长春麻将.xml
,JL榆树麻将new,D:\Games_吉林地区_金币场_麻将,D:\Games_吉林地区_金币场_麻将\ysmj_server.exe,D:\Games_吉林地区_金币场_麻将\榆树麻将.xml
,JL松原麻将newcsJX,D:\Games_吉林地区_朋友场_麻将,D:\Games_吉林地区_朋友场_麻将\symj_server.exe,D:\Games_吉林地区_朋友场_麻将\松原麻将.xml
,JL延吉麻将new,D:\Games_吉林地区_金币场_麻将,D:\Games_吉林地区_金币场_麻将\yjmj_Server.exe,D:\Games_吉林地区_金币场_麻将\延吉麻将.xml
,JL松原快听newcsJX,D:\Games_吉林地区_朋友场_麻将,D:\Games_吉林地区_朋友场_麻将\sykt_server.exe,D:\Games_吉林地区_朋友场_麻将\松原快听.xml
,JL通化麻将new,D:\Games_吉林地区_金币场_麻将,D:\Games_吉林地区_金币场_麻将\thmj_server.exe,D:\Games_吉林地区_金币场_麻将\通化麻将.xml
,JL双辽麻将newcs,D:\Games_吉林地区_朋友场_麻将,D:\Games_吉林地区_朋友场_麻将\ShuangLiaoMJServer.exe,D:\Games_吉林地区_朋友场_麻将\双辽麻将.xml
,JL松原麻将new,D:\Games_吉林地区_金币场_麻将,D:\Games_吉林地区_金币场_麻将\symj_server.exe,D:\Games_吉林地区_金币场_麻将\松原麻将.xml
,JL舒兰麻将newcs,D:\Games_吉林地区_朋友场_麻将,D:\Games_吉林地区_朋友场_麻将\SHLAMaJiangServer.exe,D:\Games_吉林地区_朋友场_麻将\舒兰麻将.xml
,JL松原快听new,D:\Games_吉林地区_金币场_麻将,D:\Games_吉林地区_金币场_麻将\sykt_server.exe,D:\Games_吉林地区_金币场_麻将\松原快听.xml
,JL农安麻将newcs,D:\Games_吉林地区_朋友场_麻将,D:\Games_吉林地区_朋友场_麻将\namj_server.exe,D:\Games_吉林地区_朋友场_麻将\农安麻将.xml
,JL四平麻将new,D:\Games_吉林地区_金币场_麻将,D:\Games_吉林地区_金币场_麻将\spmj_server.exe,D:\Games_吉林地区_金币场_麻将\四平麻将.xml
,JL梅河麻将newcs,D:\Games_吉林地区_朋友场_麻将,D:\Games_吉林地区_朋友场_麻将\mhmj_Server.exe,D:\Games_吉林地区_朋友场_麻将\梅河麻将.xml
,JL双阳麻将new,D:\Games_吉林地区_金币场_麻将,D:\Games_吉林地区_金币场_麻将\syam_Server.exe,D:\Games_吉林地区_金币场_麻将\双阳麻将.xml
,JL辽源麻将newcsJX,D:\Games_吉林地区_朋友场_麻将,D:\Games_吉林地区_朋友场_麻将\LiaoYuanMJServer.exe,D:\Games_吉林地区_朋友场_麻将\辽源麻将.xml
,JL双辽麻将new,D:\Games_吉林地区_金币场_麻将,D:\Games_吉林地区_金币场_麻将\ShuangLiaoMJServer.exe,D:\Games_吉林地区_金币场_麻将\双辽麻将.xml
,JL九台晃晃newcs,D:\Games_吉林地区_朋友场_麻将,D:\Games_吉林地区_朋友场_麻将\JiuTaiHuangHuangServer.exe,D:\Games_吉林地区_朋友场_麻将\九台晃晃.xml
,JL农安麻将new,D:\Games_吉林地区_金币场_麻将,D:\Games_吉林地区_金币场_麻将\namj_server.exe,D:\Games_吉林地区_金币场_麻将\农安麻将.xml
,JL梅河麻将new,D:\Games_吉林地区_金币场_麻将,D:\Games_吉林地区_金币场_麻将\mhmj_Server.exe,D:\Games_吉林地区_金币场_麻将\梅河麻将.xml
,JL辽源麻将new,D:\Games_吉林地区_金币场_麻将,D:\Games_吉林地区_金币场_麻将\LiaoYuanMJServer.exe,D:\Games_吉林地区_金币场_麻将\辽源麻将.xml
,JL梨树麻将newcs,D:\Games_吉林地区_朋友场_麻将,D:\Games_吉林地区_朋友场_麻将\LSHUMaJiangServer.exe,D:\Games_吉林地区_朋友场_麻将\梨树麻将.xml
,JL梨树麻将new,D:\Games_吉林地区_金币场_麻将,D:\Games_吉林地区_金币场_麻将\LSHUMaJiangServer.exe,D:\Games_吉林地区_金币场_麻将\梨树麻将.xml
,JL九台麻将new,D:\Games_吉林地区_金币场_麻将,D:\Games_吉林地区_金币场_麻将\jtmj_server.exe,D:\Games_吉林地区_金币场_麻将\九台麻将.xml
,JL吉林麻将new,D:\Games_吉林地区_金币场_麻将,D:\Games_吉林地区_金币场_麻将\jlmj_Server.exe,D:\Games_吉林地区_金币场_麻将\吉林麻将.xml
,JL白山麻将new,D:\Games_吉林地区_金币场_麻将,D:\Games_吉林地区_金币场_麻将\bsmj_server.exe,D:\Games_吉林地区_金币场_麻将\白山麻将.xml
,JL白城麻将new,D:\Games_吉林地区_金币场_麻将,D:\Games_吉林地区_金币场_麻将\bcmj_server.exe,D:\Games_吉林地区_金币场_麻将\白城麻将.xml
,安广麻将服务器fr,D:\Games_吉林地区_朋友场_麻将,D:\Games_吉林地区_朋友场_麻将\agmj_Server.exe,D:/Games_吉林地区_朋友场_麻将/安广麻将.xml
,LJ大庆麻将newcsJX,D:\Games_龙江地区_朋友场_麻将,D:\Games_龙江地区_朋友场_麻将\DaQingMaJiangServer.exe,D:\Games_龙江地区_朋友场_麻将\大庆麻将.xml
,LJ哈尔滨麻将new,D:\Games_龙江地区_金币场_麻将,D:\Games_龙江地区_金币场_麻将\HaErBinMaJiangServer.exe,D:\Games_龙江地区_金币场_麻将\哈尔滨麻将.xml
,LJ哈尔滨麻将newcsJX,D:\Games_龙江地区_朋友场_麻将,D:\Games_龙江地区_朋友场_麻将\HaErBinMaJiangServer.exe,D:\Games_龙江地区_朋友场_麻将\哈尔滨麻将.xml
,LJ大庆麻将new,D:\Games_龙江地区_金币场_麻将,D:\Games_龙江地区_金币场_麻将\DaQingMaJiangServer.exe,D:\Games_龙江地区_金币场_麻将\大庆麻将.xml
,天津麻将new,D:\Games_天津地区_金币场_麻将,D:\Games_天津地区_金币场_麻将\TianJinMJServer.exe,D:\Games_天津地区_金币场_麻将\天津麻将.xml
,天津麻将newcsJX,D:\Games_天津地区_朋友场_麻将,D:\Games_天津地区_朋友场_麻将\TianJinMJServer.exe,D:\Games_天津地区_朋友场_麻将\天津麻将.xml
,四川血战到底,D:\Games_四川地区_金币场_麻将,D:\Games_四川地区_金币场_麻将\SCXueZhanDaoDiMaJiangServer.exe,D:\Games_四川地区_金币场_麻将\四川血战到底.xml
,四川血战到底fri,D:\Games_四川地区_朋友场_麻将,D:\Games_四川地区_朋友场_麻将\SCXueZhanDaoDiMaJiangServer.exe,D:\Games_四川地区_朋友场_麻将\四川血战到底.xml
,血战到底-免费,D:\Games_四川地区_朋友场_麻将-免费,D:\Games_四川地区_朋友场_麻将-免费\SCXueZhanDaoDiMaJiangServer.exe,D:\Games_四川地区_朋友场_麻将-免费\四川血战到底免费.xml
游戏---通用-比赛-捕鱼-云上,斗地主-比赛-混服,D:\Games_通用地区_斗地主PK1混服,D:\Games_通用地区_斗地主PK1混服\DouDiZhuServer.exe,D:\Games_通用地区_斗地主PK1混服\斗地主PK1混服-吉祥.xml
,捕鱼,D:\捕鱼\吉祥捕鱼,D:\捕鱼\吉祥捕鱼\CatchFishServer.exe,D:\捕鱼\吉祥捕鱼\吉祥捕鱼.xml
,斗地主电视赛,D:\斗地主电视赛,D:\斗地主电视赛\DouDiZhuServer.exe,D:\斗地主电视赛\斗地主电视赛.xml
,Lua功能服务器,D:\报名服务器,D:\报名服务器\LuaFunctionServer.exe,D:\报名服务器\斗地主报名服务器_内网.xml
,吉林红十newJX,D:\Games_通用地区_朋友场_扑克,D:\Games_通用地区_朋友场_扑克\JiLinHongShiServer.exe,D:\Games_通用地区_朋友场_扑克\吉林红十.xml
,九台甩龙newcs,D:\Games_通用地区_朋友场_扑克,D:\Games_通用地区_朋友场_扑克\JiuTaiShuaiLongServer.exe,D:\Games_通用地区_朋友场_扑克\九台甩龙.xml
,九台甩龙new,D:\Games_通用地区_金币场_扑克,D:\Games_通用地区_金币场_扑克\JiuTaiShuaiLongServer.exe,D:\Games_通用地区_金币场_扑克\九台甩龙.xml
,东北刨幺new,D:\Games_通用地区_金币场_扑克,D:\Games_通用地区_金币场_扑克\DongBeiPaoYaoServer.exe,D:\Games_通用地区_金币场_扑克\东北刨幺.xml
