游戏服务器,所属游戏,文件夹,启动程序,配置文件
,JS泰州麻将,D:\Game_江苏_普通场new,D:\Game_江苏_普通场new\TaiZhouMJServer.exe,D:\Game_江苏_普通场new\泰州麻将.xml
,JS苏州麻将,D:\Game_江苏_普通场new,D:\Game_江苏_普通场new\SuZhouMJServer.exe,D:\Game_江苏_普通场new\苏州麻将.xml
,JS南通长牌,D:\Game_江苏_普通场new,D:\Game_江苏_普通场new\NanTongCpServer.exe,D:\Game_江苏_普通场new\南通长牌.xml
,JS连云港麻将,D:\Game_江苏_普通场new,D:\Game_江苏_普通场new\LygMJServer.exe,D:\Game_江苏_普通场new\连云港麻将.xml
,JS淮安麻将,D:\Game_江苏_普通场new,D:\Game_江苏_普通场new\HuaiAnMJServer.exe,D:\Game_江苏_普通场new\淮安麻将.xml
,JS红中麻将,D:\Game_江苏_普通场new,D:\Game_江苏_普通场new\JSHZMJServer.exe,D:\Game_江苏_普通场new\红中麻将.xml
,JS赣榆麻将,D:\Game_江苏_普通场new,D:\Game_江苏_普通场new\GanYuMJServer.exe,D:\Game_江苏_普通场new\赣榆麻将.xml
,JS常州麻将,D:\Game_江苏_普通场new,D:\Game_江苏_普通场new\ChangZhouMJServer.exe,D:\Game_江苏_普通场new\常州麻将.xml
,GX玉林麻将new,D:\Game_广西_普通场new,D:\Game_广西_普通场new\mjylMJServer.exe,D:\Game_广西_普通场new\玉林麻将.xml
,GX梧州麻将new,D:\Game_广西_普通场new,D:\Game_广西_普通场new\WuZhouMJServer.exe,D:\Game_广西_普通场new\梧州麻将.xml
,GX钦州麻将new,D:\Game_广西_普通场new,D:\Game_广西_普通场new\QinZhouMJServer.exe,D:\Game_广西_普通场new\钦州麻将.xml
,GX柳州麻将new,D:\Game_广西_普通场new,D:\Game_广西_普通场new\lzhouMJServer.exe,D:\Game_广西_普通场new\柳州麻将.xml
,GX来宾麻将new,D:\Game_广西_普通场new,D:\Game_广西_普通场new\LaiBinMJServer.exe,D:\Game_广西_普通场new\来宾麻将.xml
,GX贺州麻将new,D:\Game_广西_普通场new,D:\Game_广西_普通场new\HeZhouMJServer.exe,D:\Game_广西_普通场new\贺州麻将.xml
,GX河池麻将new,D:\Game_广西_普通场new,D:\Game_广西_普通场new\HeChiMJServer.exe,D:\Game_广西_普通场new\河池麻将.xml
,GX桂柳麻将new,D:\Game_广西_普通场new,D:\Game_广西_普通场new\gxglMJServer.exe,D:\Game_广西_普通场new\桂柳麻将.xml
,GX桂林麻将new,D:\Game_广西_普通场new,D:\Game_广西_普通场new\GuiLinMJServer.exe,D:\Game_广西_普通场new\桂林麻将.xml
,GX贵港麻将new,D:\Game_广西_普通场new,D:\Game_广西_普通场new\GuiGangMJServer.exe,D:\Game_广西_普通场new\贵港麻将.xml
,GX广西推到胡麻将new,D:\Game_广西_普通场new,D:\Game_广西_普通场new\GXTDHMJServer.exe,D:\Game_广西_普通场new\推倒胡.xml
,GX广西鸡平胡麻将new,D:\Game_广西_普通场new,D:\Game_广西_普通场new\JiPingHuMJServer.exe,D:\Game_广西_普通场new\鸡平胡.xml
,GX防城港麻将new,D:\Game_广西_普通场new,D:\Game_广西_普通场new\FangChengGangMJServer.exe,D:\Game_广西_普通场new\防城港麻将.xml
,GX崇左麻将new,D:\Game_广西_普通场new,D:\Game_广西_普通场new\ChongZhuoMJServer.exe,D:\Game_广西_普通场new\崇左麻将.xml
,GX北海麻将new,D:\Game_广西_普通场new,D:\Game_广西_普通场new\BeiHaiMJServer.exe,D:\Game_广西_普通场new\北海麻将.xml
,AH宣城麻将,D:\Game_安徽_普通场new,D:\Game_安徽_普通场new\XuanChengMJServer.exe,D:\Game_安徽_普通场new\宣城麻将.xml
,AH宿州麻将,D:\Game_安徽_普通场new,D:\Game_安徽_普通场new\SuZhouMJServer.exe,D:\Game_安徽_普通场new\宿州麻将.xml
,AH芜湖麻将,D:\Game_安徽_普通场new,D:\Game_安徽_普通场new\WuHuMJServer.exe,D:\Game_安徽_普通场new\芜湖麻将.xml
,AH马鞍山麻将,D:\Game_安徽_普通场new,D:\Game_安徽_普通场new\MaAnShanMJServer.exe,D:\Game_安徽_普通场new\马鞍山麻将.xml
,AH六安麻将,D:\Game_安徽_普通场new,D:\Game_安徽_普通场new\ahlaMJServer.exe,D:\Game_安徽_普通场new\六安麻将.xml
,AH老亳州麻将,D:\Game_安徽_普通场new,D:\Game_安徽_普通场new\LBZHMJServer.exe,D:\Game_安徽_普通场new\老亳州麻将.xml
,AH叫家子,D:\Game_安徽_普通场new,D:\Game_安徽_普通场new\ZhaoDuiJiaServer.exe,D:\Game_安徽_普通场new\叫家子.xml
,AH黄山麻将,D:\Game_安徽_普通场new,D:\Game_安徽_普通场new\ahhsMJServer.exe,D:\Game_安徽_普通场new\黄山麻将.xml
,AH淮南麻将,D:\Game_安徽_普通场new,D:\Game_安徽_普通场new\HuaiNanMJServer.exe,D:\Game_安徽_普通场new\淮南麻将.xml
,AH淮南换换麻将,D:\Game_安徽_普通场new,D:\Game_安徽_普通场new\ahhhMJServer.exe,D:\Game_安徽_普通场new\淮南换换.xml
,AH淮北麻将,D:\Game_安徽_普通场new,D:\Game_安徽_普通场new\ahhbMJServer.exe,D:\Game_安徽_普通场new\淮北麻将.xml
,AH合肥八支,D:\Game_安徽_普通场new,D:\Game_安徽_普通场new\HFBZMJServer.exe,D:\Game_安徽_普通场new\合肥八支.xml
,AH阜阳麻将,D:\Game_安徽_普通场new,D:\Game_安徽_普通场new\ahfyMJServer.exe,D:\Game_安徽_普通场new\阜阳麻将.xml
,AH滁州麻将,D:\Game_安徽_普通场new,D:\Game_安徽_普通场new\ChuZhouMJServer.exe,D:\Game_安徽_普通场new\滁州麻将.xml
,AH池州麻将,D:\Game_安徽_普通场new,D:\Game_安徽_普通场new\ahchMJServer.exe,D:\Game_安徽_普通场new\池州麻将.xml
,AH亳州推倒胡,D:\Game_安徽_普通场new,D:\Game_安徽_普通场new\BoZhouTDMJServer.exe,D:\Game_安徽_普通场new\亳州推倒胡麻将.xml
,AH亳州麻将,D:\Game_安徽_普通场new,D:\Game_安徽_普通场new\BoZhouMJServer.exe,D:\Game_安徽_普通场new\亳州麻将.xml
,AH蚌埠麻将,D:\Game_安徽_普通场new,D:\Game_安徽_普通场new\BengBuMJServer.exe,D:\Game_安徽_普通场new\蚌埠麻将.xml
,AH蚌埠换换麻将,D:\Game_安徽_普通场new,D:\Game_安徽_普通场new\BengBuHHMJServer.exe,D:\Game_安徽_普通场new\蚌埠换换.xml
,JS南京麻将,D:\Game_江苏_普通场new,D:\Game_江苏_普通场new\NanJingMJServer.exe,D:\Game_江苏_普通场new\南京麻将.xml
,GX南宁麻将new,D:\Game_广西_普通场new,D:\Game_广西_普通场new\NanNingMJServer.exe,D:\Game_广西_普通场new\南宁麻将.xml
,AH合肥红中麻将,D:\Game_安徽_普通场new,D:\Game_安徽_普通场new\HongZhongMJServer.exe,D:\Game_安徽_普通场new\红中麻将.xml
,GX百色麻将new,D:\Game_广西_普通场new,D:\Game_广西_普通场new\BaiSeMJServer.exe,D:\Game_广西_普通场new\百色麻将.xml
,GX桂林字牌new,D:\Game_广西_普通场new,D:\Game_广西_普通场new\GuiLinZPServer.exe,D:\Game_广西_普通场new\桂林字牌.xml
,JL四平麻将new,D:\Lua_吉林_金币场,D:\Lua_吉林_金币场\spmj_server.exe,D:\Lua_吉林_金币场\四平麻将.xml
,JL松原快听new,D:\Lua_吉林_金币场,D:\Lua_吉林_金币场\sykt_server.exe,D:\Lua_吉林_金币场\松原快听.xml
,JL松原麻将new,D:\Lua_吉林_金币场,D:\Lua_吉林_金币场\symj_server.exe,D:\Lua_吉林_金币场\松原麻将.xml
,JL白城麻将new,D:\Lua_吉林_金币场,D:\Lua_吉林_金币场\bcmj_server.exe,D:\Lua_吉林_金币场\白城麻将.xml
,JL白山麻将new,D:\Lua_吉林_金币场,D:\Lua_吉林_金币场\bsmj_server.exe,D:\Lua_吉林_金币场\白山麻将.xml
,JL辽源麻将new,D:\Lua_吉林_金币场,D:\Lua_吉林_金币场\LiaoYuanMJServer.exe,D:\Lua_吉林_金币场\辽源麻将.xml
,JL通化麻将new,D:\Lua_吉林_金币场,D:\Lua_吉林_金币场\thmj_server.exe,D:\Lua_吉林_金币场\通化麻将.xml
,JL吉林麻将new,D:\Lua_吉林_金币场,D:\Lua_吉林_金币场\jlmj_Server.exe,D:\Lua_吉林_金币场\吉林麻将.xml
,东北刨幺4人-混服,D:\Lua_吉林_金币场,D:\Lua_吉林_金币场\DongBeiPaoYaoServer.exe,D:\Lua_吉林_金币场\东北刨幺4人-混服.xml
,东北刨幺2人-混服,D:\Lua_吉林_金币场,D:\Lua_吉林_金币场\DongBeiPaoYaoServer.exe,D:\Lua_吉林_金币场\东北刨幺2人-混服.xml
,东北刨幺new,D:\Lua_吉林_金币场,D:\Lua_吉林_金币场\DongBeiPaoYaoServer.exe,D:\Lua_吉林_金币场\东北刨幺.xml
,GX烟三扑克newcs,D:\Game_广西_朋友场new,D:\Game_广西_朋友场new\gxa3Server.exe,D:\Game_广西_朋友场new\烟三扑克.xml
,JS淮安麻将cs,D:\Game_江苏_朋友场new,D:\Game_江苏_朋友场new\HuaiAnMJServer.exe,D:\Game_江苏_朋友场new\淮安麻将.xml
,JS灌云麻将cs,D:\Game_江苏_朋友场new,D:\Game_江苏_朋友场new\GuanYunMJServer.exe,D:\Game_江苏_朋友场new\灌云麻将.xml
,JS灌云麻将,D:\Game_江苏_普通场new,D:\Game_江苏_普通场new\GuanYunMJServer.exe,D:\Game_江苏_普通场new\灌云麻将.xml
,JL延吉麻将new,D:\Lua_吉林_金币场,D:\Lua_吉林_金币场\yjmj_Server.exe,D:\Lua_吉林_金币场\延吉麻将.xml
,JL延吉麻将newcs,D:\Lua_吉林_朋友场,D:\Lua_吉林_朋友场\yjmj_Server.exe,D:\Lua_吉林_朋友场\延吉麻将.xml
,AH安庆麻将,D:\Game_安徽_普通场new,D:\Game_安徽_普通场new\ahaqMJServer.exe,D:\Game_安徽_普通场new\安庆麻将.xml
,吉林红十-慢十,D:\Lua_吉林_金币场,D:\Lua_吉林_金币场\JiLinHongShiServer.exe,D:\Lua_吉林_金币场\吉林红十-慢十.xml
,吉林红十-快十,D:\Lua_吉林_金币场,D:\Lua_吉林_金币场\JiLinHongShiServer.exe,D:\Lua_吉林_金币场\吉林红十-快十.xml
