游戏服务器,所属游戏,文件夹,启动程序,配置文件
,邵阳字牌,D:\Game_湖南_普通场new,D:\Game_湖南_普通场new\ShaoYangZiPaiServer.exe,D:\Game_湖南_普通场new\邵阳字牌.xml
,湘乡告胡子,D:\Game_湖南_普通场new,D:\Game_湖南_普通场new\XiangXianGHZServer.exe,D:\Game_湖南_普通场new\湘乡告胡子.xml
,山西扣点点fri,D:\Game_山西_朋友场new,D:\Game_山西_朋友场new\ShanXiKouDianMaJiangServer.exe,D:\Game_山西_朋友场new\山西扣点点.xml
,吕梁打七fri,D:\Game_山西_朋友场new,D:\Game_山西_朋友场new\lldaqiServer.exe,D:\Game_山西_朋友场new\吕梁打七fri.xml
,山西扣点点,D:\Game_山西_普通场new,D:\Game_山西_普通场new\ShanXiKouDianMaJiangServer.exe,D:\Game_山西_普通场new\山西扣点点.xml
,吕梁打七gold,D:\Game_山西_普通场new,D:\Game_山西_普通场new\lldaqiServer.exe,D:\Game_山西_普通场new\吕梁打七gold.xml
,四川推倒胡fri,D:\Game_四川_朋友场new,D:\Game_四川_朋友场new\SCTuiDaoHuMaJiangServer.exe,D:\Game_四川_朋友场new\四川推倒胡麻将.xml
,攀枝花麻将fri,D:\Game_四川_朋友场new,D:\Game_四川_朋友场new\SCPanZhiHuaMaJiangServer.exe,D:\Game_四川_朋友场new\攀之花麻将.xml
,内江麻将fri,D:\Game_四川_朋友场new,D:\Game_四川_朋友场new\SCNeiJiangMaJiangServer.exe,D:\Game_四川_朋友场new\内江麻将.xml
,南充麻将fri,D:\Game_四川_朋友场new,D:\Game_四川_朋友场new\SCNanChongMaJiangServer.exe,D:\Game_四川_朋友场new\南充麻将.xml
,乐山麻将fri,D:\Game_四川_朋友场new,D:\Game_四川_朋友场new\SCLeShanMaJiangServer.exe,D:\Game_四川_朋友场new\乐山麻将.xml
,泸州麻将friend,D:\Game_四川_朋友场new,D:\Game_四川_朋友场new\SCLuZhouMaJiangServer.exe,D:\Game_四川_朋友场new\泸州麻将.xml
,绵阳麻将fri,D:\Game_四川_朋友场new,D:\Game_四川_朋友场new\SCMianYangMaJiangServer.exe,D:\Game_四川_朋友场new\绵阳麻将.xml
,断卡勾麻将fri,D:\Game_四川_朋友场new,D:\Game_四川_朋友场new\SCDuanKaGouMaJiangServer.exe,D:\Game_四川_朋友场new\四川断卡勾麻将.xml
,自贡麻将fri,D:\Game_四川_朋友场new,D:\Game_四川_朋友场new\SCZiGongMaJiangServer.exe,D:\Game_四川_朋友场new\自贡麻将.xml
,宜宾麻将fri,D:\Game_四川_朋友场new,D:\Game_四川_朋友场new\SCYiBinMaJiangServer.exe,D:\Game_四川_朋友场new\宜宾麻将.xml
,四川血战到底fri,D:\Game_四川_朋友场new,D:\Game_四川_朋友场new\SCXueZhanDaoDiMaJiangServer.exe,D:\Game_四川_朋友场new\四川血战到底.xml
,四川血战到底,D:\Game_四川_普通场new,D:\Game_四川_普通场new\SCXueZhanDaoDiMaJiangServer.exe,D:\Game_四川_普通场new\四川血战到底.xml
,四川推倒胡,D:\Game_四川_普通场new,D:\Game_四川_普通场new\SCTuiDaoHuMaJiangServer.exe,D:\Game_四川_普通场new\四川推倒胡麻将.xml
,攀枝花麻将,D:\Game_四川_普通场new,D:\Game_四川_普通场new\SCPanZhiHuaMaJiangServer.exe,D:\Game_四川_普通场new\攀之花麻将.xml
,内江麻将,D:\Game_四川_普通场new,D:\Game_四川_普通场new\SCNeiJiangMaJiangServer.exe,D:\Game_四川_普通场new\内江麻将.xml
,南充麻将,D:\Game_四川_普通场new,D:\Game_四川_普通场new\SCNanChongMaJiangServer.exe,D:\Game_四川_普通场new\南充麻将.xml
,绵阳麻将,D:\Game_四川_普通场new,D:\Game_四川_普通场new\SCMianYangMaJiangServer.exe,D:\Game_四川_普通场new\绵阳麻将.xml
,新二丁拐-金币场,D:\贵阳二丁三丁金币场,D:\贵阳二丁三丁金币场\ERDingGuaiMJServer.exe,D:\贵阳二丁三丁金币场\二丁拐new.xml
,GY三丁拐new,D:\贵阳二丁三丁金币场,D:\贵阳二丁三丁金币场\SanDingGuaiMJServer.exe,D:\贵阳二丁三丁金币场\三丁拐.xml
,三扣一,D:\Game_浙江_普通场,D:\Game_浙江_普通场\SanKouYiServer.exe,D:\Game_浙江_普通场\三扣一.xml
,三扣一fr,D:\Game_浙江_朋友场,D:\Game_浙江_朋友场\SanKouYiServer.exe,D:\Game_浙江_朋友场\三扣一.xml
,云南推倒胡,D:\Game_云南_普通场,D:\Game_云南_普通场\TuiDaoHuMaJiangServer.exe,D:\Game_云南_普通场\云南推倒胡.xml
,曲靖飞小鸡,D:\Game_云南_普通场,D:\Game_云南_普通场\QuJingMaJiangServer.exe,D:\Game_云南_普通场\曲靖飞小鸡.xml
,泸州麻将,D:\Game_四川_普通场new,D:\Game_四川_普通场new\SCLuZhouMaJiangServer.exe,D:\Game_四川_普通场new\泸州麻将.xml
,乐山麻将,D:\Game_四川_普通场new,D:\Game_四川_普通场new\SCLeShanMaJiangServer.exe,D:\Game_四川_普通场new\乐山麻将.xml
,曲靖飞小鸡fri,D:\Game_云南_朋友场,D:\Game_云南_朋友场\QuJingMaJiangServer.exe,D:\Game_云南_朋友场\曲靖飞小鸡fri.xml
,云南推倒胡fri,D:\Game_云南_朋友场,D:\Game_云南_朋友场\TuiDaoHuMaJiangServer.exe,D:\Game_云南_朋友场\云南推倒胡.xml
,贰柒拾fir,D:\Game_四川_朋友场new,D:\Game_四川_朋友场new\SCLeShanEQSServer.exe,D:\Game_四川_朋友场new\贰柒拾.xml
,常德麻将wlf,D:\Game_湖南_朋友场new,D:\Game_湖南_朋友场new\ChangDeMJServer.exe,D:\Game_湖南_朋友场new\常德麻将-f.xml
,河南推倒胡cs,D:\Game_河南_朋友场New,D:\Game_河南_朋友场New\HNTuiDaoHuMaJiangServer.exe,D:\Game_河南_朋友场New\河南推到湖.xml
,河南红中麻将cs,D:\Game_河南_朋友场New,D:\Game_河南_朋友场New\HeNanHongZhongMaJiangServer.exe,D:\Game_河南_朋友场New\河南红中麻将.xml
,安阳麻将cs,D:\Game_河南_朋友场New,D:\Game_河南_朋友场New\AnYangMaJiangServer.exe,D:\Game_河南_朋友场New\安阳麻将.xml
,贰柒拾,D:\Game_四川_普通场new,D:\Game_四川_普通场new\SCLeShanEQSServer.exe,D:\Game_四川_普通场new\贰柒拾.xml
,商丘麻将cs,D:\Game_河南_朋友场New,D:\Game_河南_朋友场New\ShangQiuMaJiangServer.exe,D:\Game_河南_朋友场New\商丘麻将.xml
,周口推倒胡CS,D:\Game_河南_朋友场New,D:\Game_河南_朋友场New\ZKTuiDaoHuMaJiangServer.exe,D:\Game_河南_朋友场New\周口推倒胡.xml
,郑州麻将cs,D:\Game_河南_朋友场New,D:\Game_河南_朋友场New\ZhengzhouMaJiangServer.exe,D:\Game_河南_朋友场New\郑州麻将.xml
,濮阳麻将cs,D:\Game_河南_朋友场New,D:\Game_河南_朋友场New\PuYangMaJiangServer.exe,D:\Game_河南_朋友场New\濮阳麻将.xml
,平顶山麻将cs,D:\Game_河南_朋友场New,D:\Game_河南_朋友场New\PingDingShanMaJiangServer.exe,D:\Game_河南_朋友场New\平顶山麻将.xml
,南阳麻将cs,D:\Game_河南_朋友场New,D:\Game_河南_朋友场New\NanYangMaJiangServer.exe,D:\Game_河南_朋友场New\南阳麻将.xml
,漯河麻将cs,D:\Game_河南_朋友场New,D:\Game_河南_朋友场New\LuoHeMaJiangServer.exe,D:\Game_河南_朋友场New\漯河麻将.xml
,开封麻将cs,D:\Game_河南_朋友场New,D:\Game_河南_朋友场New\KaiFengMaJiangServer.exe,D:\Game_河南_朋友场New\开封麻将.xml
,济源麻将fri,D:\Game_河南_朋友场New,D:\Game_河南_朋友场New\JiYuanMaJiangServer.exe,D:\Game_河南_朋友场New\济源麻将.xml
,焦作麻将cs,D:\Game_河南_朋友场New,D:\Game_河南_朋友场New\JiaoZuoMaJiangServer.exe,D:\Game_河南_朋友场New\焦作麻将.xml
,鹤壁麻将cs,D:\Game_河南_朋友场New,D:\Game_河南_朋友场New\HeBiMaJiangServer.exe,D:\Game_河南_朋友场New\鹤壁麻将.xml
,三门峡麻将cs,D:\Game_河南_朋友场New,D:\Game_河南_朋友场New\SanMenXiaMaJiangServer.exe,D:\Game_河南_朋友场New\三门峡麻将.xml
,驻马店麻将cs,D:\Game_河南_朋友场New,D:\Game_河南_朋友场New\ZhuMaDianMaJiangServer.exe,D:\Game_河南_朋友场New\驻马店麻将.xml
,许昌麻将cs,D:\Game_河南_朋友场New,D:\Game_河南_朋友场New\XuChangMaJiangServer.exe,D:\Game_河南_朋友场New\许昌麻将.xml
,信阳麻将cs,D:\Game_河南_朋友场New,D:\Game_河南_朋友场New\XinYangMaJiangServer.exe,D:\Game_河南_朋友场New\信阳麻将.xml
,洛阳麻将cs,D:\Game_河南_朋友场New,D:\Game_河南_朋友场New\LuoYangGangCiMaJiangServer.exe,D:\Game_河南_朋友场New\洛阳麻将.xml
,鹤壁麻将,D:\Game_河南_普通场New,D:\Game_河南_普通场New\HeBiMaJiangServer.exe,D:\Game_河南_普通场New\鹤壁麻将.xml
,驻马店麻将,D:\Game_河南_普通场New,D:\Game_河南_普通场New\ZhuMaDianMaJiangServer.exe,D:\Game_河南_普通场New\驻马店麻将.xml
,郑州麻将,D:\Game_河南_普通场New,D:\Game_河南_普通场New\ZhengzhouMaJiangServer.exe,D:\Game_河南_普通场New\郑州麻将.xml
,许昌麻将,D:\Game_河南_普通场New,D:\Game_河南_普通场New\XuChangMaJiangServer.exe,D:\Game_河南_普通场New\许昌麻将.xml
,焦作麻将,D:\Game_河南_普通场New,D:\Game_河南_普通场New\JiaoZuoMaJiangServer.exe,D:\Game_河南_普通场New\焦作麻将.xml
,濮阳麻将,D:\Game_河南_普通场New,D:\Game_河南_普通场New\PuYangMaJiangServer.exe,D:\Game_河南_普通场New\濮阳麻将.xml
,漯河麻将,D:\Game_河南_普通场New,D:\Game_河南_普通场New\LuoHeMaJiangServer.exe,D:\Game_河南_普通场New\漯河麻将.xml
,济源麻将,D:\Game_河南_普通场New,D:\Game_河南_普通场New\JiYuanMaJiangServer.exe,D:\Game_河南_普通场New\济源麻将.xml
,洛阳麻将,D:\Game_河南_普通场New,D:\Game_河南_普通场New\LuoYangGangCiMaJiangServer.exe,D:\Game_河南_普通场New\洛阳麻将.xml
,河南红中麻将,D:\Game_河南_普通场New,D:\Game_河南_普通场New\HeNanHongZhongMaJiangServer.exe,D:\Game_河南_普通场New\河南红中麻将.xml
,河南推倒胡,D:\Game_河南_普通场New,D:\Game_河南_普通场New\HNTuiDaoHuMaJiangServer.exe,D:\Game_河南_普通场New\河南推倒胡.xml
,新乡麻将,D:\Game_河南_普通场New,D:\Game_河南_普通场New\XinXiangMaJiangServer.exe,D:\Game_河南_普通场New\新乡麻将.xml
,开封麻将,D:\Game_河南_普通场New,D:\Game_河南_普通场New\KaiFengMaJiangServer.exe,D:\Game_河南_普通场New\开封麻将.xml
,平顶山麻将,D:\Game_河南_普通场New,D:\Game_河南_普通场New\PingDingShanMaJiangServer.exe,D:\Game_河南_普通场New\平顶山麻将.xml
,安阳麻将,D:\Game_河南_普通场New,D:\Game_河南_普通场New\AnYangMaJiangServer.exe,D:\Game_河南_普通场New\安阳麻将.xml
,商丘麻将,D:\Game_河南_普通场New,D:\Game_河南_普通场New\ShangQiuMaJiangServer.exe,D:\Game_河南_普通场New\商丘麻将.xml
,周口麻将,D:\Game_河南_普通场New,D:\Game_河南_普通场New\ZhouKouMaJiangServer.exe,D:\Game_河南_普通场New\周口麻将.xml
,周口推倒胡,D:\Game_河南_普通场New,D:\Game_河南_普通场New\ZKTuiDaoHuMaJiangServer.exe,D:\Game_河南_普通场New\周口推倒胡.xml
,南阳麻将,D:\Game_河南_普通场New,D:\Game_河南_普通场New\NanYangMaJiangServer.exe,D:\Game_河南_普通场New\南阳麻将.xml
,信阳麻将,D:\Game_河南_普通场New,D:\Game_河南_普通场New\XinYangMaJiangServer.exe,D:\Game_河南_普通场New\信阳麻将.xml
,三门峡麻将,D:\Game_河南_普通场New,D:\Game_河南_普通场New\SanMenXiaMaJiangServer.exe,D:\Game_河南_普通场New\三门峡麻将.xml
,怀化红拐弯wlf,D:\Game_湖南_朋友场new,D:\Game_湖南_朋友场new\HWZiPaiServer.exe,D:\Game_湖南_朋友场new\怀化红拐弯-f.xml
,GY三丁拐newcs6,D:\贵阳二丁三丁朋友场,D:\贵阳二丁三丁朋友场\SanDingGuaiMJServer.exe,D:\贵阳二丁三丁朋友场\三丁拐6.xml
,GY三丁拐newcs5,D:\贵阳二丁三丁朋友场,D:\贵阳二丁三丁朋友场\SanDingGuaiMJServer.exe,D:\贵阳二丁三丁朋友场\三丁拐5.xml
,GY三丁拐newcs4,D:\贵阳二丁三丁朋友场,D:\贵阳二丁三丁朋友场\SanDingGuaiMJServer.exe,D:\贵阳二丁三丁朋友场\三丁拐4.xml
,GY三丁拐newcs3,D:\贵阳二丁三丁朋友场,D:\贵阳二丁三丁朋友场\SanDingGuaiMJServer.exe,D:\贵阳二丁三丁朋友场\三丁拐3.xml
,GY三丁拐newcs2,D:\贵阳二丁三丁朋友场,D:\贵阳二丁三丁朋友场\SanDingGuaiMJServer.exe,D:\贵阳二丁三丁朋友场\三丁拐2.xml
,JS双扣fr,D:\Game_浙江_朋友场,D:\Game_浙江_朋友场\ShuangKouServer.exe,D:\Game_浙江_朋友场\双扣.xml
,GY二丁拐newcs8,D:\贵阳二丁三丁朋友场,D:\贵阳二丁三丁朋友场\ERDingGuaiMaJiangServer.exe,D:\贵阳二丁三丁朋友场\二丁拐8.xml
,GY二丁拐newcs7,D:\贵阳二丁三丁朋友场,D:\贵阳二丁三丁朋友场\ERDingGuaiMaJiangServer.exe,D:\贵阳二丁三丁朋友场\二丁拐7.xml
,GY二丁拐newcs6,D:\贵阳二丁三丁朋友场,D:\贵阳二丁三丁朋友场\ERDingGuaiMaJiangServer.exe,D:\贵阳二丁三丁朋友场\二丁拐6.xml
,GY二丁拐newcs5,D:\贵阳二丁三丁朋友场,D:\贵阳二丁三丁朋友场\ERDingGuaiMaJiangServer.exe,D:\贵阳二丁三丁朋友场\二丁拐5.xml
,GY二丁拐newcs4,D:\贵阳二丁三丁朋友场,D:\贵阳二丁三丁朋友场\ERDingGuaiMaJiangServer.exe,D:\贵阳二丁三丁朋友场\二丁拐4.xml
,GY二丁拐newcs3,D:\贵阳二丁三丁朋友场,D:\贵阳二丁三丁朋友场\ERDingGuaiMaJiangServer.exe,D:\贵阳二丁三丁朋友场\二丁拐3.xml
,GY二丁拐newcs2,D:\贵阳二丁三丁朋友场,D:\贵阳二丁三丁朋友场\ERDingGuaiMaJiangServer.exe,D:\贵阳二丁三丁朋友场\二丁拐2.xml
,GY二丁拐newcs1,D:\贵阳二丁三丁朋友场,D:\贵阳二丁三丁朋友场\ERDingGuaiMaJiangServer.exe,D:\贵阳二丁三丁朋友场\二丁拐1.xml
,GY二丁拐newcs,D:\贵阳二丁三丁朋友场,D:\贵阳二丁三丁朋友场\ERDingGuaiMaJiangServer.exe,D:\贵阳二丁三丁朋友场\二丁拐.xml
,GY二丁拐new,D:\贵阳二丁三丁金币场,D:\贵阳二丁三丁金币场\ERDingGuaiMaJiangServer.exe,D:\贵阳二丁三丁金币场\二丁拐.xml
,新二丁拐-朋友场8,D:\贵阳二丁三丁朋友场,D:\贵阳二丁三丁朋友场\ERDingGuaiMJServer.exe,D:\贵阳二丁三丁朋友场\二丁拐new_朋友场8.xml
,新二丁拐-朋友场7,D:\贵阳二丁三丁朋友场,D:\贵阳二丁三丁朋友场\ERDingGuaiMJServer.exe,D:\贵阳二丁三丁朋友场\二丁拐new_朋友场7.xml
,新二丁拐-朋友场6,D:\贵阳二丁三丁朋友场,D:\贵阳二丁三丁朋友场\ERDingGuaiMJServer.exe,D:\贵阳二丁三丁朋友场\二丁拐new_朋友场6.xml
,新二丁拐-朋友场5,D:\贵阳二丁三丁朋友场,D:\贵阳二丁三丁朋友场\ERDingGuaiMJServer.exe,D:\贵阳二丁三丁朋友场\二丁拐new_朋友场5.xml
,新二丁拐-朋友场4,D:\贵阳二丁三丁朋友场,D:\贵阳二丁三丁朋友场\ERDingGuaiMJServer.exe,D:\贵阳二丁三丁朋友场\二丁拐new_朋友场4.xml
,新二丁拐-朋友场3,D:\贵阳二丁三丁朋友场,D:\贵阳二丁三丁朋友场\ERDingGuaiMJServer.exe,D:\贵阳二丁三丁朋友场\二丁拐new_朋友场3.xml
,新二丁拐-朋友场2,D:\贵阳二丁三丁朋友场,D:\贵阳二丁三丁朋友场\ERDingGuaiMJServer.exe,D:\贵阳二丁三丁朋友场\二丁拐new_朋友场2.xml
,新二丁拐-朋友场1,D:\贵阳二丁三丁朋友场,D:\贵阳二丁三丁朋友场\ERDingGuaiMJServer.exe,D:\贵阳二丁三丁朋友场\二丁拐new_朋友场1.xml
,JS双扣,D:\Game_浙江_普通场,D:\Game_浙江_普通场\ShuangKouServer.exe,D:\Game_浙江_普通场\双扣.xml
,GY三丁拐newcs,D:\贵阳二丁三丁朋友场,D:\贵阳二丁三丁朋友场\SanDingGuaiMJServer.exe,D:\贵阳二丁三丁朋友场\三丁拐.xml
,GY三丁拐newcs1,D:\贵阳二丁三丁朋友场,D:\贵阳二丁三丁朋友场\SanDingGuaiMJServer.exe,D:\贵阳二丁三丁朋友场\三丁拐1.xml
,新二丁拐-朋友场,D:\贵阳二丁三丁朋友场,D:\贵阳二丁三丁朋友场\ERDingGuaiMJServer.exe,D:\贵阳二丁三丁朋友场\二丁拐new_朋友场.xml
,三人斗地主pt,D:\通用_研二游戏金币场,D:\通用_研二游戏金币场\DouDiZhuServer.exe,D:\通用_研二游戏金币场\三人斗地主pt.xml
,斗地主闯关服务器,D:\斗地主闯关,D:\斗地主闯关\DouDiZhuServer.exe,D:\斗地主闯关\斗地主闯关.xml
,斗地主电视直播,D:\斗地主直播,D:\斗地主直播\DouDiZhuServer.exe,D:\斗地主直播\斗地主1.xml
,翻翻棋正式,D:\通用_研一游戏棋类金币场,D:\通用_研一游戏棋类金币场\ChessFanFan.exe,D:\通用_研一游戏棋类金币场\翻翻棋外网.xml
,揭棋正式,D:\通用_研一游戏棋类金币场,D:\通用_研一游戏棋类金币场\ChessJie.exe,D:\通用_研一游戏棋类金币场\揭棋外网.xml
,升级_普通场,D:\通用_研三游戏金币场,D:\通用_研三游戏金币场\shengjiServer.exe,D:\通用_研三游戏金币场\升级.xml
,斗地主-比赛-混服,D:\斗地主PK1混服,D:\斗地主PK1混服\DouDiZhuServer.exe,D:\斗地主PK1混服\斗地主PK1混服.xml
,跑得快-混服,D:\通用_研二游戏金币场,D:\通用_研二游戏金币场\PaoDeKuaiServer.exe,D:\通用_研二游戏金币场\跑得快-混服.xml
,干瞪眼pt,D:\通用_研二游戏金币场,D:\通用_研二游戏金币场\GanDengYanServer.exe,D:\通用_研二游戏金币场\干瞪眼.xml
通用游戏 比赛,血流成河,D:\通用_血流成河金币场,D:\通用_血流成河金币场\XueLiuChengHe.exe,D:\通用_血流成河金币场\血流成河.xml
,二人斗地主朋友场,D:\通用_研二游戏朋友场,D:\通用_研二游戏朋友场\ErRenDouDiZhu.exe,D:\通用_研二游戏朋友场\二人斗地主.xml
,二人斗地主pt,D:\通用_研二游戏金币场,D:\通用_研二游戏金币场\ErRenDouDiZhu.exe,D:\通用_研二游戏金币场\二人斗地主.xml
,翻翻棋朋友场正式,D:\通用_研一游戏棋类朋友场,D:\通用_研一游戏棋类朋友场\ChessFanFan.exe,D:\通用_研一游戏棋类朋友场\翻翻棋外网朋友场.xml
,阜阳跑得快,D:\通用_研二游戏金币场,D:\通用_研二游戏金币场\FuYangPaoDeKuaiServer.exe,D:\通用_研二游戏金币场\阜阳跑得快.xml
,阜阳跑得快fr,D:\通用_研二游戏朋友场,D:\通用_研二游戏朋友场\FuYangPaoDeKuaiServer.exe,D:\备份\通用_研二游戏朋友场\阜阳跑得快.xml
,干瞪眼fri,D:\通用_研二游戏朋友场,D:\通用_研二游戏朋友场\GanDengYanServer.exe,D:\通用_研二游戏朋友场\干瞪眼.xml
,关牌pt,D:\通用_研二游戏金币场,D:\通用_研二游戏金币场\GuanPaiServer.exe,D:\通用_研二游戏金币场\关牌pt.xml
,揭棋朋友场正式,D:\通用_研一游戏棋类朋友场,D:\通用_研一游戏棋类朋友场\ChessJie.exe,D:\通用_研一游戏棋类朋友场\揭棋外网朋友场.xml
,跑得快friWL,D:\通用_研二游戏朋友场,D:\通用_研二游戏朋友场\PaoDeKuaiServer.exe,D:\通用_研二游戏朋友场\跑得快.xml
,拼十new抢庄,D:\通用_研三游戏金币场,D:\通用_研三游戏金币场\NiuNiuServer.exe,D:\通用_研三游戏金币场\牛牛_抢庄.xml
,拼十new诈十,D:\通用_研三游戏金币场,D:\通用_研三游戏金币场\NiuNiuServer.exe,D:\通用_研三游戏金币场\牛牛_炸庄.xml
,全国红中new,D:\通用_研三游戏金币场,D:\通用_研三游戏金币场\qghzMJServer.exe,D:\通用_研三游戏金币场\红中麻将pt.xml
,三人斗地主friWL2,D:\通用_研二游戏朋友场,D:\通用_研二游戏朋友场\DouDiZhuServer.exe,D:\通用_研二游戏朋友场\斗地主.xml
,山东跑得快,D:\通用_研二游戏金币场,D:\通用_研二游戏金币场\SdPaoDeKuaiServer.exe,D:\通用_研二游戏金币场\山东跑得快.xml
,山东跑得快fr,D:\通用_研二游戏朋友场,D:\通用_研二游戏朋友场\SdPaoDeKuaiServer.exe,D:\通用_研二游戏朋友场\山东跑得快.xml
,升级_朋友场,D:\通用_研三游戏朋友场,D:\通用_研三游戏朋友场\shengjiServer.exe,D:\通用_研三游戏朋友场\升级.xml
,象棋残棋正式,D:\通用_研一游戏棋类金币场,D:\通用_研一游戏棋类金币场\ChessCanQ.exe,D:\通用_研一游戏棋类金币场\残棋外网.xml
,象棋朋友场正式,D:\通用_研一游戏棋类朋友场,D:\通用_研一游戏棋类朋友场\ChessClassic.exe,D:\通用_研一游戏棋类朋友场\中国象棋朋友场.xml
,象棋正式,D:\通用_研一游戏棋类金币场,D:\通用_研一游戏棋类金币场\ChessClassic.exe,D:\通用_研一游戏棋类金币场\象棋外网.xml
,血流成河csWL,D:\通用_血流成河朋友场,D:\通用_血流成河朋友场\XueLiuChengHe.exe,D:\通用_血流成河朋友场\血流成河.xml
,争上游pt,D:\通用_研二游戏金币场,D:\通用_研二游戏金币场\ZhengShangYouServer.exe,D:\通用_研二游戏金币场\争上游pt.xml
,至尊二人麻将pt,D:\通用_二人雀神金币场,D:\通用_二人雀神金币场\GBErRenMaJiangServer.exe,D:\通用_二人雀神金币场\国标二人麻将.xml
,斗地主电视赛,D:\斗地主2015电视赛,D:\斗地主2015电视赛\DouDiZhuServer.exe,D:\斗地主2015电视赛\斗地主电视赛.xml
,斗地主残局服务器,D:\斗地主残局,D:\斗地主残局\DouDiZhuCanJu.exe,D:\斗地主残局\斗地主残局.xml
,跑得快闯关服务器,D:\通用_跑得快闯关,D:\通用_跑得快闯关\PaoDeKuaiServer.exe,D:\通用_跑得快闯关\跑得快闯关服务器.xml
,斗地主福利赛双周日,D:\斗地主福利赛双周\斗地主福利赛双周日,D:\斗地主福利赛双周\斗地主福利赛双周日\DouDiZhuServer.exe,D:\斗地主福利赛双周\斗地主福利赛双周日\斗地主福利赛双周日.xml
,斗地主福利赛双周六,D:\斗地主福利赛双周\斗地主福利赛双周六,D:\斗地主福利赛双周\斗地主福利赛双周六\DouDiZhuServer.exe,D:\斗地主福利赛双周\斗地主福利赛双周六\斗地主福利赛双周六.xml
,斗地主福利赛双周四,D:\斗地主福利赛双周\斗地主福利赛双周四,D:\斗地主福利赛双周\斗地主福利赛双周四\DouDiZhuServer.exe,D:\斗地主福利赛双周\斗地主福利赛双周四\斗地主福利赛双周四.xml
,斗地主福利赛双周二,D:\斗地主福利赛双周\斗地主福利赛双周二,D:\斗地主福利赛双周\斗地主福利赛双周二\DouDiZhuServer.exe,D:\斗地主福利赛双周\斗地主福利赛双周二\斗地主福利赛双周二.xml
,斗地主福利赛单周六,D:\斗地主福利赛单周\斗地主福利赛单周六,D:\斗地主福利赛单周\斗地主福利赛单周六\DouDiZhuServer.exe,D:\斗地主福利赛单周\斗地主福利赛单周六\斗地主福利赛单周六.xml
,斗地主福利赛单周二,D:\斗地主福利赛单周\斗地主福利赛单周二,D:\斗地主福利赛单周\斗地主福利赛单周二\DouDiZhuServer.exe,D:\斗地主福利赛单周\斗地主福利赛单周二\斗地主福利赛单周二.xml
,斗地主福利赛单周四,D:\斗地主福利赛单周\斗地主福利赛单周四,D:\斗地主福利赛单周\斗地主福利赛单周四\DouDiZhuServer.exe,D:\斗地主福利赛单周\斗地主福利赛单周四\斗地主福利赛单周四.xml
,斗地主福利赛单周日,D:\斗地主福利赛单周\斗地主福利赛单周日,D:\斗地主福利赛单周\斗地主福利赛单周日\DouDiZhuServer.exe,D:\斗地主福利赛单周\斗地主福利赛单周日\斗地主福利赛单周日.xml
龙江_辽宁_河北_天津_北京_湖北,齐齐哈尔保皇new,D:\龙江_普通场new,D:\龙江_普通场new\QQBaoHuangServer.exe,D:\龙江_普通场new\齐齐哈尔保皇pt.xml
,上海百搭new,D:\上海_普通场new,D:\上海_普通场new\SHBaiDaMJServer.exe,D:\上海_普通场new\百搭麻将.xml
,上海搓花new,D:\上海_普通场new,D:\上海_普通场new\SHCuoHuaMJServer.exe,D:\上海_普通场new\上海搓花.xml
,上海拉西胡new,D:\上海_普通场new,D:\上海_普通场new\SHLaXiHuMJServer.exe,D:\上海_普通场new\上海拉西胡.xml
,上海敲麻new,D:\上海_普通场new,D:\上海_普通场new\SHQiaoMaMJServer.exe,D:\上海_普通场new\上海敲麻.xml
,上海清混碰new,D:\上海_普通场new,D:\上海_普通场new\SHQingHunPengMJServer.exe,D:\上海_普通场new\上海清混碰.xml
,LN打滚子new,D:\Game_辽宁扑克_普通场new,D:\Game_辽宁扑克_普通场new\DaLianDaGunZiServer.exe,D:\Game_辽宁扑克_普通场new\打滚子.xml
,上海拉西胡friWL,D:\上海_朋友场new,D:\上海_朋友场new\SHLaXiHuMJServer.exe,D:\上海_朋友场new\上海拉西胡.xml
,上海敲麻frWL,D:\上海_朋友场new,D:\上海_朋友场new\SHQiaoMaMJServer.exe,D:\上海_朋友场new\上海敲麻.xml
,上海搓花friWL,D:\上海_朋友场new,D:\上海_朋友场new\SHCuoHuaMJServer.exe,D:\上海_朋友场new\上海搓花.xml
,上海百搭frWL,D:\上海_朋友场new,D:\上海_朋友场new\SHBaiDaMJServer.exe,D:\上海_朋友场new\百搭麻将.xml
,三打一直播,D:\三打一直播,D:\三打一直播\SanDaYiServer.exe,D:\三打一直播\三打一直播.xml
,三打一newcsWL,D:\龙江_朋友场new,D:\龙江_朋友场new\SanDaYiServer.exe,D:\龙江_朋友场new\三打一.xml
,拍分服务器fr,D:\Game_辽宁扑克_朋友场new,D:\Game_辽宁扑克_朋友场new\PaiFenServer.exe,D:\Game_辽宁扑克_朋友场new\拍分.xml
,wl天津三家拐_newcs,D:\Game_北京天津海南_朋友场new,D:\Game_北京天津海南_朋友场new\TianJinSGMJServer.exe,D:\Game_北京天津海南_朋友场new\天津三家拐.xml
,WL海南麻将cs,D:\Game_北京天津海南_朋友场new,D:\Game_北京天津海南_朋友场new\HaiNanMaJiangServer.exe,D:\Game_北京天津海南_朋友场new\海南麻将.xml
,WL北京麻将cs,D:\Game_北京天津海南_朋友场new,D:\Game_北京天津海南_朋友场new\BeiJingMJServer.exe,D:\Game_北京天津海南_朋友场new\北京麻将.xml
